Name	Depth	Velocity
Opihi	0.18	1.154606599
Opihi	0.25	1.241384156
Opihi	0.35	1.300989664
Opihi	0.32	1.683361605
Opihi	0.39	1.588098478
Opihi	0.43	2.002562605
Opihi	0.48	2.11655814
Opihi	0.55	2.298244186
Opihi	0.54	2.533669629
Opihi	0.57	2.126427505
Opihi	0.51	2.225569767
Opihi	0.49	2.189232558
Opihi	0.46	2.023736357
Opihi	0.44	2.075055791
Opihi	0.44	2.054650301
Opihi	0.4	1.663962008
Opihi	0.38	1.934872093
Opihi	0.41	1.466042133
Opihi	0.46	1.437489801
Opihi	0.34	0.392414199
Opihi	0.31	1.764420739
Opihi	0.3	2.21773233
Opihi	0.39	2.17838563
Opihi	0.38	2.944616909
Opihi	0.4	2.612262756
Opihi	0.38	2.043883721
Opihi	0.41	1.898534884
Opihi	0.31	2.334581395
Opihi	0.22	1.455257087
Opihi	0.28	1.116419712
Opihi	0.17	1.121718371
Opihi	0.2	1.159057323
Opihi	0.35	1.914941773
Opihi	0.45	1.755330886
Opihi	0.44	2.076946824
Opihi	0.5	2.076946824
Opihi	0.45	2.647996302
Opihi	0.51	2.298512555
Opihi	0.51	2.208163585
Opihi	0.5	2.323865848
Opihi	0.55	2.641464133
Opihi	0.53	2.318121764
Opihi	0.54	2.202720111
Opihi	0.48	2.409295421
Opihi	0.47	2.066658532
Opihi	0.39	0.82566856
Opihi	0.38	1.818453471
Opihi	0.3	1.511761783
Opihi	0.26	1.79171278
Opihi	0.14	1.424407619
Opihi	0.11	0.701962781
Opihi	0.5	0.617871752
Opihi	0.56	1.143915339
Opihi	0.6	1.317685662
Opihi	0.61	1.320924392
Opihi	0.6	1.54769175
Opihi	0.6	1.87342047
Opihi	0.63	2.014912265
Opihi	0.65	2.177097177
Opihi	0.68	2.26191716
Opihi	0.65	2.330071478
Opihi	0.57	2.422661785
Opihi	0.5	2.588301642
Opihi	0.46	1.978386588
Opihi	0.45	2.01988482
Opihi	0.4	1.707183432
Opihi	0.34	1.532539988
Opihi	0.29	1.33073726
Opihi	0.25	1.07314946
Opihi	0.2	1.119057965
Opihi	0.19	1.101770327
Opihi	0.47	1.093713192
