RIVER	MILE	SPECIES	LENGTH	WEIGHT	DDT
FC	5	CCATFISH	42.5	732	10
FC	5	CCATFISH	44	795	16
FC	5	CCATFISH	41.5	547	23
FC	5	CCATFISH	39	465	21
FC	5	CCATFISH	50.5	1252	50
FC	5	CCATFISH	52	1255	150
LC	3	CCATFISH	40.5	741	28
LC	3	CCATFISH	48	1151	7.7
LC	3	CCATFISH	48	1186	2
LC	3	CCATFISH	43.5	754	19
LC	3	CCATFISH	40.5	679	16
LC	3	CCATFISH	47.5	985	5.4
SC	1	CCATFISH	44.5	1133	2.6
SC	1	CCATFISH	46	1139	3.1
SC	1	CCATFISH	48	1186	3.5
SC	1	CCATFISH	45	984	9.1
SC	1	CCATFISH	43	965	7.8
SC	1	CCATFISH	45	1084	4.1
TR	275	CCATFISH	48	986	8.4
TR	275	CCATFISH	45	1023	15
TR	275	CCATFISH	49	1266	25
TR	275	CCATFISH	50	1086	5.6
TR	275	CCATFISH	46	1044	4.6
TR	275	CCATFISH	52	1770	8.2
TR	280	CCATFISH	48	1048	6.1
TR	280	CCATFISH	51	1641	13
TR	280	CCATFISH	48.5	1331	6
TR	280	CCATFISH	51	1728	6.6
TR	280	CCATFISH	44	917	5.5
TR	280	CCATFISH	51	1398	11
TR	280	SMBUFFALO	49	1763	4.5
TR	280	SMBUFFALO	46	1459	4.2
TR	280	SMBUFFALO	52	2302	3
TR	280	SMBUFFALO	46	1614	2.3
TR	280	SMBUFFALO	46	1444	2.5
TR	280	SMBUFFALO	48	2006	6.8
TR	285	CCATFISH	44	936	19
TR	285	CCATFISH	42	1058	7.2
TR	285	CCATFISH	42.5	800	6
TR	285	CCATFISH	45.5	1087	10
TR	285	CCATFISH	48	1329	12
TR	285	CCATFISH	44	897	2.8
TR	285	LMBASS	28.5	778	0.48
TR	285	LMBASS	26	532	0.18
TR	285	LMBASS	25.5	441	0.34
TR	285	LMBASS	25	544	0.11
TR	285	LMBASS	23	393	0.22
TR	285	LMBASS	28	733	0.8
TR	290	CCATFISH	41	961	8.7
TR	290	CCATFISH	44	886	22
TR	290	CCATFISH	41	678	13
TR	290	CCATFISH	42	1011	3.5
TR	290	CCATFISH	42.5	947	9.3
TR	290	CCATFISH	44	989	21
TR	290	SMBUFFALO	43.5	1291	3.4
TR	290	SMBUFFALO	46.5	1186	13
TR	290	SMBUFFALO	43	1293	5.6
TR	290	SMBUFFALO	47	1709	12
TR	290	SMBUFFALO	46	1425	21
TR	290	SMBUFFALO	41	1176	8
TR	295	CCATFISH	36	980	12
TR	295	CCATFISH	47.5	1176	6
TR	295	CCATFISH	41.5	989	4.7
TR	295	CCATFISH	49.5	1084	31
TR	295	CCATFISH	46	1115	5.2
TR	295	CCATFISH	46.5	724	27
TR	300	CCATFISH	36	847	18
TR	300	CCATFISH	37	876	7.5
TR	300	CCATFISH	35	844	3
TR	300	CCATFISH	36	908	13
TR	300	CCATFISH	48	1358	7.3
TR	300	CCATFISH	49	1019	15
TR	300	SMBUFFALO	35.5	1300	1.3
TR	300	SMBUFFALO	46	1365	4.8
TR	300	SMBUFFALO	45	1437	5.1
TR	300	SMBUFFALO	44.5	1460	5.1
TR	300	SMBUFFALO	49	1671	4
TR	300	SMBUFFALO	47.5	1717	10
TR	305	CCATFISH	35	613	12
TR	305	CCATFISH	51	353	22
TR	305	CCATFISH	42.5	909	10
TR	305	CCATFISH	38	886	11
TR	305	CCATFISH	41	890	17
TR	305	CCATFISH	47	1031	9.7
TR	310	CCATFISH	45	1083	12
TR	310	CCATFISH	45.5	864	4.7
TR	310	CCATFISH	45	886	6
TR	310	CCATFISH	45	965	3.8
TR	310	CCATFISH	39	537	17
TR	310	CCATFISH	40.5	630	12
TR	310	SMBUFFALO	46	1486	1.4
TR	310	SMBUFFALO	47	1743	6.1
TR	310	SMBUFFALO	48.5	2061	2.8
